order_id,order_date,customer_id,customer_name,product_code,product_name,category,quantity_units,unit_price_usd,sales_rep
ORD-2024058,2024-03-06,CUST-003,Texas Energy Partners,HEAT-OIL,Heating Oil No.2,Refined Products,304.96,3.1,R. Chen
ORD-2024061,2024-01-13,CUST-003,Texas Energy Partners,NAT-GAS-001,Natural Gas,Natural Gas,978.87,2.85,R. Chen
ORD-2024063,2024-04-12,CUST-008,Midland Energy Services,CRUDE-WTI,Crude Oil WTI,Crude Oil,4101.27,78.5,S. Patel
ORD-2024064,2024-01-13,CUST-004,Houston Petrochem Inc.,JET-A1,Jet Fuel A-1,Refined Products,3334.16,3.45,S. Patel
ORD-2024065,2024-06-28,CUST-002,Gulf Coast Refinery LLC,JET-A1,Jet Fuel A-1,Refined Products,3243.26,3.45,T. Williams
ORD-2024067,2024-02-25,CUST-005,Lone Star Pipeline Corp.,GASOLINE-87,Gasoline 87 Octane,Refined Products,3023.2,2.95,J. Martinez
ORD-2024068,2024-09-18,CUST-007,Bayou City Fuel Dist.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,666.66,12.5,A. Johnson
ORD-2024069,2024-12-28,CUST-005,Lone Star Pipeline Corp.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,2236.68,3.2,J. Martinez
ORD-2024070,2024-08-08,CUST-004,Houston Petrochem Inc.,HEAT-OIL,Heating Oil No.2,Refined Products,442.87,3.1,T. Williams
ORD-2024071,2024-06-02,CUST-006,Eagle Ford Resources,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,2584.9,12.5,J. Martinez
ORD-2024072,2024-10-10,CUST-007,Bayou City Fuel Dist.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,723.71,12.5,T. Williams
ORD-2024073,2024-10-18,CUST-003,Texas Energy Partners,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,1574.65,18.75,A. Johnson
ORD-2024074,2024-04-17,CUST-005,Lone Star Pipeline Corp.,CRUDE-WTI,Crude Oil WTI,Crude Oil,2206.45,78.5,T. Williams
ORD-2024075,2024-08-14,CUST-008,Midland Energy Services,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,3410.57,12.5,R. Chen
ORD-2024076,2024-09-20,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,3352.88,2.85,T. Williams
ORD-2024080,2024-04-22,CUST-002,Gulf Coast Refinery LLC,CRUDE-WTI,Crude Oil WTI,Crude Oil,961.84,78.5,R. Chen
ORD-2024081,2024-10-12,CUST-008,Midland Energy Services,HEAT-OIL,Heating Oil No.2,Refined Products,1321.07,3.1,J. Martinez
ORD-2024082,2024-12-07,CUST-003,Texas Energy Partners,PROP-LPG,Propane LPG,LPG,2702.55,1.15,R. Chen
ORD-2024083,2024-09-15,CUST-008,Midland Energy Services,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,2191.03,12.5,A. Johnson
ORD-2024085,2024-05-20,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,2255.38,3.45,S. Patel
ORD-2024089,2024-07-13,CUST-001,Permian Basin Drilling Co.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,2437.2,18.75,A. Johnson
ORD-2024090,2024-10-02,CUST-007,Bayou City Fuel Dist.,JET-A1,Jet Fuel A-1,Refined Products,3762.83,3.45,R. Chen
ORD-2024091,2024-04-22,CUST-004,Houston Petrochem Inc.,GASOLINE-87,Gasoline 87 Octane,Refined Products,1437.38,2.95,R. Chen
ORD-2024092,2024-03-25,CUST-006,Eagle Ford Resources,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,4218.48,18.75,R. Chen
ORD-2024094,2024-04-03,CUST-003,Texas Energy Partners,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,346.39,18.75,R. Chen
ORD-2024095,2024-06-21,CUST-008,Midland Energy Services,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,3830.03,3.2,T. Williams
ORD-2024096,2024-08-28,CUST-005,Lone Star Pipeline Corp.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,194.98,18.75,J. Martinez
ORD-2024099,2024-12-24,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,1355.59,82.3,R. Chen
ORD-2024101,2024-04-11,CUST-007,Bayou City Fuel Dist.,JET-A1,Jet Fuel A-1,Refined Products,472.38,3.45,R. Chen
ORD-2024103,2024-09-29,CUST-001,Permian Basin Drilling Co.,GASOLINE-87,Gasoline 87 Octane,Refined Products,2199.05,2.95,T. Williams
ORD-2024105,2024-08-10,CUST-008,Midland Energy Services,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,963.07,12.5,S. Patel
ORD-2024106,2024-08-11,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,4146.1,3.45,R. Chen
ORD-2024108,2024-01-15,CUST-007,Bayou City Fuel Dist.,PROP-LPG,Propane LPG,LPG,2522.1,1.15,T. Williams
ORD-2024109,2024-05-12,CUST-004,Houston Petrochem Inc.,PROP-LPG,Propane LPG,LPG,1767.66,1.15,T. Williams
ORD-2024110,2024-04-07,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,519.5,3.45,A. Johnson
ORD-2024111,2024-11-26,CUST-004,Houston Petrochem Inc.,PROP-LPG,Propane LPG,LPG,3588.03,1.15,R. Chen
ORD-2024113,2024-10-10,CUST-006,Eagle Ford Resources,GASOLINE-87,Gasoline 87 Octane,Refined Products,2701.52,2.95,R. Chen
ORD-2024115,2024-03-02,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,3740.12,82.3,T. Williams
ORD-2024116,2024-09-04,CUST-004,Houston Petrochem Inc.,NAT-GAS-001,Natural Gas,Natural Gas,1454.85,2.85,S. Patel
ORD-2024117,2024-04-09,CUST-005,Lone Star Pipeline Corp.,HEAT-OIL,Heating Oil No.2,Refined Products,1551.61,3.1,J. Martinez
ORD-2024118,2024-03-05,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,1444.13,3.45,A. Johnson
ORD-2024119,2024-11-22,CUST-005,Lone Star Pipeline Corp.,HEAT-OIL,Heating Oil No.2,Refined Products,4355.46,3.1,S. Patel
ORD-2024123,2024-08-01,CUST-002,Gulf Coast Refinery LLC,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,3070.96,3.2,A. Johnson
ORD-2024124,2024-08-14,CUST-007,Bayou City Fuel Dist.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,1557.03,3.2,R. Chen
ORD-2024125,2024-11-13,CUST-005,Lone Star Pipeline Corp.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,395.13,18.75,A. Johnson
ORD-2024127,2024-01-02,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,2101.74,2.85,S. Patel
ORD-2024129,2024-11-16,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,2989.97,82.3,T. Williams
ORD-2024133,2024-02-11,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,3030.38,3.45,R. Chen
ORD-2024134,2024-02-16,CUST-005,Lone Star Pipeline Corp.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1221.73,12.5,J. Martinez
ORD-2024135,2024-10-22,CUST-001,Permian Basin Drilling Co.,GASOLINE-87,Gasoline 87 Octane,Refined Products,297.14,2.95,T. Williams
ORD-2024136,2024-04-02,CUST-008,Midland Energy Services,PROP-LPG,Propane LPG,LPG,4985.03,1.15,T. Williams
ORD-2024137,2024-06-27,CUST-002,Gulf Coast Refinery LLC,PROP-LPG,Propane LPG,LPG,2100.91,1.15,R. Chen
ORD-2024139,2024-02-15,CUST-001,Permian Basin Drilling Co.,HEAT-OIL,Heating Oil No.2,Refined Products,1641.13,3.1,R. Chen
ORD-2024141,2024-01-27,CUST-008,Midland Energy Services,GASOLINE-87,Gasoline 87 Octane,Refined Products,1097.44,2.95,R. Chen
ORD-2024142,2024-03-03,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,241.46,3.45,R. Chen
ORD-2024143,2024-10-09,CUST-003,Texas Energy Partners,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,167.0,3.2,T. Williams
ORD-2024146,2024-04-07,CUST-003,Texas Energy Partners,HEAT-OIL,Heating Oil No.2,Refined Products,4617.15,3.1,R. Chen
ORD-2024147,2024-07-31,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,1765.39,2.85,T. Williams
ORD-2024148,2024-06-01,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,4203.63,3.45,T. Williams
ORD-2024149,2024-10-02,CUST-003,Texas Energy Partners,PROP-LPG,Propane LPG,LPG,2473.27,1.15,R. Chen
ORD-2024150,2024-06-13,CUST-007,Bayou City Fuel Dist.,HEAT-OIL,Heating Oil No.2,Refined Products,4361.05,3.1,R. Chen
ORD-2024151,2024-07-29,CUST-007,Bayou City Fuel Dist.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,313.87,3.2,S. Patel
ORD-2024153,2024-08-13,CUST-006,Eagle Ford Resources,GASOLINE-87,Gasoline 87 Octane,Refined Products,588.59,2.95,J. Martinez
ORD-2024156,2024-11-16,CUST-007,Bayou City Fuel Dist.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,3621.72,12.5,T. Williams
ORD-2024157,2024-02-05,CUST-001,Permian Basin Drilling Co.,HEAT-OIL,Heating Oil No.2,Refined Products,1250.37,3.1,A. Johnson
ORD-2024158,2024-08-10,CUST-004,Houston Petrochem Inc.,JET-A1,Jet Fuel A-1,Refined Products,4893.85,3.45,J. Martinez
ORD-2024162,2024-12-15,CUST-007,Bayou City Fuel Dist.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,1280.07,82.3,A. Johnson
ORD-2024165,2024-12-19,CUST-005,Lone Star Pipeline Corp.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1325.48,12.5,R. Chen
ORD-2024166,2024-02-24,CUST-007,Bayou City Fuel Dist.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,1262.31,3.2,R. Chen
ORD-2024167,2024-01-12,CUST-005,Lone Star Pipeline Corp.,GASOLINE-87,Gasoline 87 Octane,Refined Products,4891.93,2.95,T. Williams
ORD-2024168,2024-12-17,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,3913.73,3.45,A. Johnson
ORD-2024169,2024-04-27,CUST-008,Midland Energy Services,GASOLINE-87,Gasoline 87 Octane,Refined Products,3074.62,2.95,T. Williams
ORD-2024170,2024-11-17,CUST-005,Lone Star Pipeline Corp.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,576.1,3.2,S. Patel
ORD-2024171,2024-01-18,CUST-005,Lone Star Pipeline Corp.,CRUDE-WTI,Crude Oil WTI,Crude Oil,2939.91,78.5,R. Chen
ORD-2024173,2024-09-13,CUST-006,Eagle Ford Resources,HEAT-OIL,Heating Oil No.2,Refined Products,4576.09,3.1,A. Johnson
ORD-2024174,2024-06-22,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,4040.74,3.45,T. Williams
ORD-2024175,2024-12-12,CUST-003,Texas Energy Partners,CRUDE-BRENT,Crude Oil Brent,Crude Oil,3648.66,82.3,S. Patel
ORD-2024176,2024-07-21,CUST-006,Eagle Ford Resources,HEAT-OIL,Heating Oil No.2,Refined Products,168.2,3.1,J. Martinez
ORD-2024177,2024-10-26,CUST-006,Eagle Ford Resources,PROP-LPG,Propane LPG,LPG,1967.02,1.15,T. Williams
ORD-2024178,2024-08-29,CUST-002,Gulf Coast Refinery LLC,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,222.62,12.5,S. Patel
ORD-2024179,2024-04-23,CUST-006,Eagle Ford Resources,HEAT-OIL,Heating Oil No.2,Refined Products,3273.5,3.1,A. Johnson
ORD-2024180,2024-02-29,CUST-005,Lone Star Pipeline Corp.,PROP-LPG,Propane LPG,LPG,784.91,1.15,R. Chen
ORD-2024181,2024-02-19,CUST-008,Midland Energy Services,JET-A1,Jet Fuel A-1,Refined Products,1250.52,3.45,J. Martinez
ORD-2024182,2024-12-09,CUST-008,Midland Energy Services,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,4751.97,18.75,T. Williams
ORD-2024183,2024-03-20,CUST-007,Bayou City Fuel Dist.,HEAT-OIL,Heating Oil No.2,Refined Products,4438.53,3.1,A. Johnson
ORD-2024185,2024-12-17,CUST-006,Eagle Ford Resources,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,1899.94,3.2,J. Martinez
ORD-2024187,2024-11-24,CUST-002,Gulf Coast Refinery LLC,PROP-LPG,Propane LPG,LPG,3233.52,1.15,S. Patel
ORD-2024189,2024-06-17,CUST-004,Houston Petrochem Inc.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,3894.41,3.2,S. Patel
ORD-2024190,2024-03-15,CUST-001,Permian Basin Drilling Co.,GASOLINE-87,Gasoline 87 Octane,Refined Products,4938.88,2.95,T. Williams
ORD-2024191,2024-03-08,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,172.82,2.85,J. Martinez
ORD-2024193,2024-08-31,CUST-002,Gulf Coast Refinery LLC,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,2296.55,18.75,J. Martinez
ORD-2024194,2024-09-14,CUST-002,Gulf Coast Refinery LLC,GASOLINE-87,Gasoline 87 Octane,Refined Products,1185.59,2.95,R. Chen
ORD-2024196,2024-12-17,CUST-007,Bayou City Fuel Dist.,PROP-LPG,Propane LPG,LPG,629.01,1.15,R. Chen
ORD-2024198,2024-11-01,CUST-006,Eagle Ford Resources,JET-A1,Jet Fuel A-1,Refined Products,2699.73,3.45,R. Chen
ORD-2024199,2024-12-25,CUST-007,Bayou City Fuel Dist.,GASOLINE-87,Gasoline 87 Octane,Refined Products,660.63,2.95,J. Martinez
ORD-2024200,2024-08-19,CUST-004,Houston Petrochem Inc.,HEAT-OIL,Heating Oil No.2,Refined Products,4451.65,3.1,R. Chen
ORD-2024201,2024-02-18,CUST-007,Bayou City Fuel Dist.,PROP-LPG,Propane LPG,LPG,1631.49,1.15,R. Chen
ORD-2024203,2024-02-19,CUST-002,Gulf Coast Refinery LLC,CRUDE-BRENT,Crude Oil Brent,Crude Oil,3748.49,82.3,R. Chen
ORD-2024204,2024-10-14,CUST-001,Permian Basin Drilling Co.,NAT-GAS-001,Natural Gas,Natural Gas,2852.25,2.85,A. Johnson
ORD-2024205,2024-01-27,CUST-006,Eagle Ford Resources,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,4845.15,18.75,R. Chen
ORD-2024206,2024-09-16,CUST-002,Gulf Coast Refinery LLC,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1142.42,12.5,A. Johnson
ORD-2024207,2024-10-11,CUST-002,Gulf Coast Refinery LLC,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,1901.05,3.2,T. Williams
ORD-2024208,2024-10-14,CUST-004,Houston Petrochem Inc.,GASOLINE-87,Gasoline 87 Octane,Refined Products,4875.28,2.95,R. Chen
ORD-2024211,2024-03-13,CUST-007,Bayou City Fuel Dist.,GASOLINE-87,Gasoline 87 Octane,Refined Products,3730.75,2.95,J. Martinez
ORD-2024214,2024-05-19,CUST-001,Permian Basin Drilling Co.,NAT-GAS-001,Natural Gas,Natural Gas,2271.25,2.85,J. Martinez
ORD-2024215,2024-05-19,CUST-008,Midland Energy Services,GASOLINE-87,Gasoline 87 Octane,Refined Products,1156.29,2.95,R. Chen
ORD-2024216,2024-05-25,CUST-007,Bayou City Fuel Dist.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,3423.27,12.5,J. Martinez
ORD-2024217,2024-04-22,CUST-005,Lone Star Pipeline Corp.,HEAT-OIL,Heating Oil No.2,Refined Products,2036.79,3.1,J. Martinez
ORD-2024218,2024-04-18,CUST-004,Houston Petrochem Inc.,CRUDE-WTI,Crude Oil WTI,Crude Oil,3860.01,78.5,T. Williams
ORD-2024219,2024-01-04,CUST-006,Eagle Ford Resources,JET-A1,Jet Fuel A-1,Refined Products,2537.19,3.45,J. Martinez
ORD-2024220,2024-12-26,CUST-007,Bayou City Fuel Dist.,NAT-GAS-001,Natural Gas,Natural Gas,1227.54,2.85,A. Johnson
ORD-2024221,2024-01-22,CUST-002,Gulf Coast Refinery LLC,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,2237.48,12.5,R. Chen
ORD-2024222,2024-08-07,CUST-006,Eagle Ford Resources,CRUDE-BRENT,Crude Oil Brent,Crude Oil,2909.66,82.3,A. Johnson
ORD-2024223,2024-07-26,CUST-005,Lone Star Pipeline Corp.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,202.2,18.75,J. Martinez
ORD-2024225,2024-02-10,CUST-007,Bayou City Fuel Dist.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,2039.26,18.75,A. Johnson
ORD-2024226,2024-03-27,CUST-004,Houston Petrochem Inc.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,474.26,12.5,T. Williams
ORD-2024227,2024-06-28,CUST-004,Houston Petrochem Inc.,HEAT-OIL,Heating Oil No.2,Refined Products,3664.16,3.1,T. Williams
ORD-2024229,2024-11-17,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,2521.17,2.85,S. Patel
ORD-2024230,2024-11-25,CUST-008,Midland Energy Services,GASOLINE-87,Gasoline 87 Octane,Refined Products,3212.96,2.95,A. Johnson
ORD-2024231,2024-02-04,CUST-003,Texas Energy Partners,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,2397.71,12.5,R. Chen
ORD-2024232,2024-09-16,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,463.53,3.45,T. Williams
ORD-2024233,2024-05-26,CUST-001,Permian Basin Drilling Co.,CRUDE-WTI,Crude Oil WTI,Crude Oil,475.98,78.5,T. Williams
ORD-2024234,2024-10-24,CUST-007,Bayou City Fuel Dist.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,2816.15,82.3,R. Chen
ORD-2024235,2024-11-29,CUST-008,Midland Energy Services,CRUDE-WTI,Crude Oil WTI,Crude Oil,1022.37,78.5,A. Johnson
ORD-2024236,2024-08-18,CUST-003,Texas Energy Partners,HEAT-OIL,Heating Oil No.2,Refined Products,607.16,3.1,J. Martinez
ORD-2024238,2024-09-24,CUST-008,Midland Energy Services,PROP-LPG,Propane LPG,LPG,3088.05,1.15,A. Johnson
ORD-2024240,2024-02-18,CUST-002,Gulf Coast Refinery LLC,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,2834.02,12.5,T. Williams
ORD-2024242,2024-03-07,CUST-005,Lone Star Pipeline Corp.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,3015.7,12.5,R. Chen
ORD-2024243,2024-03-06,CUST-007,Bayou City Fuel Dist.,JET-A1,Jet Fuel A-1,Refined Products,3383.57,3.45,T. Williams
ORD-2024244,2024-09-17,CUST-002,Gulf Coast Refinery LLC,HEAT-OIL,Heating Oil No.2,Refined Products,1872.96,3.1,R. Chen
ORD-2024245,2024-09-05,CUST-004,Houston Petrochem Inc.,NAT-GAS-001,Natural Gas,Natural Gas,1040.83,2.85,T. Williams
ORD-2024246,2024-02-21,CUST-002,Gulf Coast Refinery LLC,NAT-GAS-001,Natural Gas,Natural Gas,2587.68,2.85,T. Williams
ORD-2024247,2024-11-12,CUST-001,Permian Basin Drilling Co.,HEAT-OIL,Heating Oil No.2,Refined Products,742.14,3.1,T. Williams
ORD-2024249,2024-11-08,CUST-004,Houston Petrochem Inc.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1496.15,12.5,R. Chen
ORD-2024250,2024-05-02,CUST-004,Houston Petrochem Inc.,PROP-LPG,Propane LPG,LPG,1616.39,1.15,A. Johnson
ORD-2024251,2024-12-13,CUST-004,Houston Petrochem Inc.,PROP-LPG,Propane LPG,LPG,4740.94,1.15,T. Williams
ORD-2024252,2024-09-14,CUST-005,Lone Star Pipeline Corp.,PROP-LPG,Propane LPG,LPG,2684.55,1.15,R. Chen
ORD-2024253,2024-01-27,CUST-003,Texas Energy Partners,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,3241.78,3.2,T. Williams
ORD-2024254,2024-03-04,CUST-002,Gulf Coast Refinery LLC,HEAT-OIL,Heating Oil No.2,Refined Products,1496.81,3.1,A. Johnson
